id, varRNN, varRL,,Ave RNN,Ave RL
A3BLT959N9AEEK,-132.4307472,-155.5056114,,,
A3C99LYQMQISUF,-89.99697321,-69.68166022,,,
A3CDWPBKYDDASL,-131.561175,-127.0795935,,,
A3CGQOJC28OVGN,-92.15840833,-81.77296516,,,
A3CI9V0ENNLUAT,-102.720136,-87.36539482,,,
A3E3J0HD0G6AB5,-88.8951157,-94.08125581,,,
A3ERKH1ZX3VH0Z,-104.3494675,-99.341255,,,
A3FH7YRKBEQ2LU,-97.27467053,-93.66738087,,,
A3FJ3XMXO8UAJ0,-78.35452523,-67.6662792,,,
A3FQ0QLNSBUSTD,-76.57243097,-70.40025864,,,
A3G73IWKEPXRUW,-135.0781569,-132.6698386,,,
A3GEXZD5FXGMHD,-99.85672438,-88.15033762,,,
A3GP8FXH7J96UK,-104.058156,-84.732784,,,
A3GWRDHAURRNK6,-68.59596222,-65.92695923,,,
A3H5L5LX61DGY2,-119.5571658,-114.8924308,,,
A3HSONMX6LNZR4,-71.23940326,-67.96617619,,,
A3I5P7QF8N9LPW,-76.91005997,-77.90124458,,,
A3IIA92PUAI331,-102.1358717,-106.5735485,,,
A3IKFI142RM8LE,-73.28638566,-73.82356796,,,
A3IXWFXJC2YKU7,-82.40830097,-94.55490857,,,
A3JDCVM1OXXOFG,-72.48983729,-65.44233107,,,
A3JG44GC9BIM58,-86.52445532,-69.99663261,,,
A3JWQDS7KDKLQM,-88.05764644,-73.99682843,,,
A3K55QAQ158W0P,-103.8562718,-79.95009282,,,
A3KJHBYLVDBQVF,-121.9112039,-155.4607779,,,
A3KKY9HXZRRAIV,-79.74338818,-82.21835758,,,
A3KTXAY9ZXOGWH,-98.50730726,-98.12911837,,,
A3KWYUV3VSNIZA,-87.29486941,-69.65659821,,,
A3L2CJTA12YOHG,-86.69666495,-89.27008116,,,
A3LC8JT9NKNKN,-89.08582508,-70.8965256,,,
A3LCO8WBGHAI4K,-76.99064951,-74.14251723,,,
A3LI98SL8OEDC0,-134.6215728,-145.4171194,,,
A3LT1TCMEGY73D,-117.6514644,-133.5655319,,,
A3M1FJQLYPR8X8,-97.36615251,-82.216023,,,
A3M8A5YRDBHV8B,-76.51212728,-85.0989918,,,
A3MF22SGH75VO3,-103.296722,-81.67657635,,,
A3MKQ62CNO0MM8,-91.66396869,-78.84141676,,,
A3MLNAZCS0Y2QP,-95.81147536,-61.85051613,,,
A3N1B3W5PS6D5S,-93.55771344,-76.26881498,,,
A3N5RLYH05PY8L,-130.9733065,-161.7152982,,,
A3N62A1YVDMKS5,-108.899455,-117.6987236,,,
A3NM4Y7V4UEMM3,-115.134125,-96.26811674,,,
A3NQK6VK36A4GA,-104.2895868,-98.52582705,,,
A3O9J3V0K06IP2,-122.8657951,-126.119631,,,
A3ON3DL1CKGN4E,-102.7221343,-86.83718815,,,
A3OWF5KP7KMUNX,-116.6783981,-136.8880586,,,
A3PJLANVHZPRVO,-74.06925268,-72.87735722,,,
A3PRQ2GSU42718,-95.14445618,-74.53018931,,,
A3PW7MHOD2M6X9,-81.20206051,-75.79281877,,,
A3QQ2JW1N0Z49X,-86.54675944,-73.13271701,,,
A3R1X7QCXV61JJ,-110.4566728,-142.5785691,,,
A3R7L5UI9IEWGD,-124.4539126,-136.874939,,,
A3REGSAW2MEXUE,-101.9217897,-108.0491762,,,
A3RQYEUBI0TVBL,-87.36820649,-80.93395917,,,
A3SITQVLF6JA08,-85.0189913,-81.75862815,,,
A3SOJ9C6L2U7AQ,-90.10987994,-70.79529383,,,
A3T8THFPERMABH,-105.591522,-88.35974066,,,
A3TD3PWJ8BU2H1,-79.61318491,-79.47517965,,,
A3TG8FPBN2D1VT,-76.98088175,-77.49893377,,,
A3UC8KZ5O8FVX9,-98.35616167,-90.71118063,,,
A3UD7T1L80TCR3,-86.95295149,-94.11057365,,,
A3UG24UP4WQP39,-122.7250962,-137.7419213,,,
A3UJAEUA1BAK8O,-110.1477756,-106.9040346,,,
A3V5O8N34LPUSG,-85.45907207,-80.89147621,,,
A3VPD34C23PQTQ,-121.35148,-142.4176745,,,
A3VZUPCZB4Q9XW,-86.2777504,-78.59997676,,,
A3W4MAKNDI1SXM,-97.89739406,-102.0189715,,,
A3XU8C72O6LCD,-81.60190725,-71.10944994,,,
A40AORVZ0PLJH,-133.6353116,-140.4067829,,,
A53S7J4JGWG38,-103.258463,-87.42286643,,,
A5BCSSPC180AG,-103.467272,-90.1032744,,,
A5E2P5F1AXYZ1,-99.89888794,-82.51416459,,,
A5FUU339LEP25,-96.22340272,-91.80393745,,,
A5M58F7N23SEE,-105.6048465,-109.8943785,,,
A5TI9UQEPLNWI,-88.50176466,-79.12477265,,,
A5TN0KXEPV4QP,-89.21109605,-73.4898551,,,
A5XXFZT973KSF,-77.29749485,-69.58929475,,,
A5ZNFLOZ9UVUO,-96.01590846,-86.69245701,,,
A6QR4K322HT3T,-83.00463478,-77.33614491,,,
A6RQ39L4WDLUW,-100.0745446,-85.40531888,,,
A6ZWMPYCMBT0Y,-70.80679627,-78.30585989,,,
A7P324L1TFL19,-96.3547161,-79.42038311,,,
A827A0PSD3R10,-119.8363467,-115.3635366,,,
A8CFS7FAITHXX,-97.21978089,-86.03272942,,,
A8JKAE3S49ZB,-120.0699147,-145.8804259,,,
A8UNVAKQHADKT,-94.78410169,-96.83315341,,,
A98E8M4QLI9RS,-86.79551765,-76.97117827,,,
A9N2E4Z18H9PB,-71.63500757,-69.06526039,,,
AA3ARQT2KLA04,-106.499728,-120.5873584,,,
